Sentence_id	Prior_Emotion	Sentence	Attention	Certainty	Effort	Pleasant	Responsibility	Control	Circumstance
271	Fear	I felt ... when my 2 year old broke her leg, and we felt helpless to assist her.	3	1	3	0	0	1	1
597	Shame	I felt ... one Christmas as one of our patients lives alone and would be spending Christmas by herself. I arranged for her to spend the day with her local church. They were going to pick her up and she would spend the day with other people who would otherwise be on their own. When I visited her after Christmas and asked her if she enjoyed Christmas day, she told me that they had forgotten to pick her up. I felt ... as if I had let her down even though I couldn't have done anymore.	3	3	1	0	2	0	0
282	Guilt	I felt ... because I could not help a friend when she was really in need of help but I had already promised to be somewhere else that week, and could not let that person down.	1	3	0	0	3	2	1
171	Disgust	I felt ... when I read that hunters had killed one of the world famous lions.	2	3	0	0	0	0	0
509	Sadness	I felt ... when my Gran passed away.	2	2	2	0	0	0	3
181	Disgust	I felt ... when I stepped in dog shit on the way to the shops.	2	3	2	0	2	1	2
218	Fear	I felt ... when an aeroplane I was on hit a heavy turbulence and dropped a long way down suddenly.	1	0	3	0	0	0	3
642	Shame	I felt ... when my daughter was rude to my wife.	2	2	1	0	0	0	0
553	Sadness	I felt ... when my lover Pierre-Guillaume left me for another woman.	2	2	2	0	1	0	0
58	Anger	I felt ... when someone hit my wife's car and drove away.	3	3	2	0	0	0	0
102	Disgust	I felt ... with myself for gambling more money than I could not afford.	0	2	2	0	3	3	0
443	Joy	I felt ... when I found some money in the street.	2	3	0	3	1	0	2
32	Anger	I felt ... when I was driving earlier and cyclists cut in front of me when it was my right of way. It scared me that I thought I might hit and hurt them, but it would have been entirely their own fault.	2	1	3	0	0	1	0
607	Shame	I felt ... when was in the doctors surgery and the receptionist announced my medical issues very loudly, for all to hear.	1	3	1	0	0	0	0
127	Disgust	I feel ... to watch someone eat insects on television.	1	3	0	0	1	0	0
105	Disgust	I felt ... when my mom offered me curry.	3	3	0	3	0	1	0
381	Joy	I felt ... because my son was picked as the outstanding student of the year at his university. He had a real struggle to understand how to express himself, many tears and frustrations, but he fought through and got there. I was so delighted for him.	2	3	1	3	0	0	1
276	Fear	I felt ... when I went to the bank for a meeting with the manager about a loan application, wondering with apprehension what black marks may have accrued on my credit history.	3	0	2	0	1	0	1
566	Shame	I felt ... when I was caught under pricing a water melon in a local supermarket. I did it because I was feeling not too well at the time. Never went back to do shopping there.	0	2	1	0	3	1	0
502	Sadness	I feel ... when I think about the effects of BREXIT on destroying peace in Europe.	1	1	1	0	0	0	0
230	Fear	I felt ... when walking home alone late at night. I had to walk down a dark alley way and felt very vulnerable and ... of being followed.	3	0	2	0	2	1	2
382	Joy	I felt ... when I received a bonus at work.	1	3	0	3	2	0	1
525	Sadness	I felt ... when my 15 year old cat had to be put to sleep in my arms because she had a tumour on her heel that could not be operated on because of the location.	2	3	2	0	0	0	3
501	Sadness	I felt ... when I saw a homeless cat on the street.	0	3	1	0	0	0	2
396	Joy	I felt ... when I saw my child perform in the school play.	2	3	0	3	0	1	0
