Prior_Emotion	Sentence	Attention	Certainty	Effort	Pleasantness	Responsibility/Control	Situational Control
Fear	I felt ... when my 2 year old broke her leg, and we felt helpless to assist her.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... one Christmas as one of our patients lives alone and would be spending Christmas by herself. I arranged for her to spend the day with her local church. They were going to pick her up and she would spend the day with other people who would otherwise be on their own. When I visited her after Christmas and asked her if she enjoyed Christmas day, she told me that they had forgotten to pick her up. I felt ... as if I had let her down even though I couldn't have done anymore.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Guilt	I felt ... because I could not help a friend when she was really in need of help but I had already promised to be somewhere else that week, and could not let that person down.	-0.36	0.15	0.0	-0.6	1.31	-0.29
Disgust	I felt ... when I read that hunters had killed one of the world famous lions.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Sadness	I felt ... when my Gran passed away.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Disgust	I felt ... when I stepped in dog shit on the way to the shops.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Fear	I felt ... when an aeroplane I was on hit a heavy turbulence and dropped a long way down suddenly.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when my daughter was rude to my wife.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I felt ... when my lover Pierre-Guillaume left me for another woman.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Anger	I felt ... when someone hit my wife's car and drove away.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Disgust	I felt ... with myself for gambling more money than I could not afford.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I felt ... when I found some money in the street.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt ... when I was driving earlier and cyclists cut in front of me when it was my right of way. It scared me that I thought I might hit and hurt them, but it would have been entirely their own fault.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... when was in the doctors surgery and the receptionist announced my medical issues very loudly, for all to hear.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Disgust	I feel ... to watch someone eat insects on television.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Disgust	I felt ... when my mom offered me curry.	-0.96	0.39	0.06	-0.38	-0.5	-0.19
Joy	I felt ... because my son was picked as the outstanding student of the year at his university. He had a real struggle to understand how to express himself, many tears and frustrations, but he fought through and got there. I was so delighted for him.	0.15	0.46	-0.33	1.46	0.09	-0.21
Fear	I felt ... when I went to the bank for a meeting with the manager about a loan application, wondering with apprehension what black marks may have accrued on my credit history.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Shame	I felt ... when I was caught under pricing a water melon in a local supermarket. I did it because I was feeling not too well at the time. Never went back to do shopping there.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Sadness	I feel ... when I think about the effects of BREXIT on destroying peace in Europe.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Fear	I felt ... when walking home alone late at night. I had to walk down a dark alley way and felt very vulnerable and ... of being followed.	0.03	-0.73	0.63	-0.44	-0.17	0.59
Joy	I felt ... when I received a bonus at work.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I felt ... when my 15 year old cat had to be put to sleep in my arms because she had a tumour on her heel that could not be operated on because of the location.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when I saw a homeless cat on the street.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Joy	I felt ... when I saw my child perform in the school play.	0.15	0.46	-0.33	1.46	0.09	-0.21
Anger	I felt ..., when my neighbour told me I had no right to live in my house and could not park my car in front of it. He's a mad man, but still I could not help to be ... by his statements.	0.12	0.29	0.53	-0.85	-0.94	-0.96
Shame	I felt ... when someone commented that I was looking very untidy.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Anger	I felt ... at a recent news story, where a rapist was trying to get sole custody of the child that resulted from the rape.	0.12	0.29	0.53	-0.85	-0.94	-0.96
